WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
sim,26188.37668757161,-13056.615061356433,-18499.577760646076,-5974.6659963924885,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26297.944938891524,-13022.260430128626,-18216.403510141794,-5951.174312969961,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26190.902434695057,-13141.88696645343,-18436.679951748843,-6012.66396196651,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26048.477119025843,-13201.364958449001,-18762.657792885042,-6055.400497365057,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26148.009437085326,-13058.716125335231,-18571.43861906989,-5993.866144879597,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26298.235511569444,-12987.414060522802,-18231.379178926847,-5956.315214194681,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26220.18321993151,-13096.535276953611,-18357.979459521706,-6020.844700437153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26065.39738957851,-13187.350414675524,-18710.75704225982,-6063.8271050247085,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26121.589675139152,-13099.73157641072,-18617.282046947723,-5980.4774499508685,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26259.119958772655,-13022.327485361993,-18293.76289770161,-5926.3638766245695,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26222.731318799415,-13116.718902196753,-18334.599534821456,-6018.743636458354,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26072.728761759852,-13188.199780964826,-18694.820248463184,-6071.359642906147,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26115.510000647308,-13099.865686877452,-18653.22365203186,-5987.920580854486,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26270.184072278033,-13005.273104342594,-18307.24099960816,-5912.595202040101,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26279.750618904905,-13058.425552657314,-18242.532699410047,-5971.760269613299,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26097.472142871877,-13195.821725824086,-18640.17023326996,-6083.898971545574,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26082.45177059791,-13160.75183877371,-18711.360539360114,-6032.959345931929,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26226.262894423355,-13047.24968042966,-18396.40210824038,-5941.227786687349,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26289.585386465238,-13031.91638373332,-18231.69210334922,-5971.983787057851,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26122.2155239839,-13171.905359256907,-18580.356965107556,-6086.759994835854,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26061.86581395457,-13179.303786671613,-18735.09809197165,-6046.683317027488,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26199.351394099165,-13051.854139787452,-18453.734332768243,-5951.688403092433,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26308.606720996708,-13012.76093873512,-18192.442440085702,-5930.230728415338,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26148.210602785424,-13147.787826989632,-18491.799353575632,-6012.127520099583,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26052.92511617245,-13173.581740091055,-18740.306048429735,-6043.174093148004,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26155.005533099837,-13070.54019815209,-18522.08596731257,-5989.507554710813,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26275.168511291566,-13037.5266715916,-18234.463719661682,-5961.970205541874,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26180.352411312153,-13153.643984036922,-18439.764492483675,-6010.920525898997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26060.1000261426,-13183.662376840399,-18737.75794956183,-6045.565729804723,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26156.5254517228,-13073.758849353653,-18559.547491019668,-5991.250990778326,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,26298.146104591622,-12997.226476338683,-18231.490937649123,-5959.936196796441,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
