WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
$SILENCE,6443.337374131367,-6266.557427234344,7831.827739695042,9789.862905724396,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6613.635315136352,-6274.492296515978,8185.052357322259,9735.16818704226,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6673.269769343111,-6193.266057165391,8659.825761297436,9724.796977614997,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6606.1474807438235,-6205.492461382444,8369.968339201014,9758.123428597859,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6397.404539275711,-6277.465078528533,7842.087190400028,9788.901780712817,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6548.122352137846,-6276.6157122392315,8070.857294900095,9732.955364341184,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6706.216240670234,-6220.7363511009635,8612.484766541096,9693.281017933014,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6591.864716036883,-6204.307818926313,8466.639633970217,9754.12246634036,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6414.4142168062,-6257.504970729944,7905.3202754640915,9808.191336177748,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6485.716281618629,-6271.273645314413,7983.685491524398,9780.408117819801,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6623.850062352427,-6220.8481098232405,8578.107783568834,9698.265456946547,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6622.777178618572,-6210.454548651523,8539.349858683332,9717.219736244648,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6465.04091799747,-6238.327173987291,7994.481384096312,9809.4653856117,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6461.241121440068,-6283.164773364637,7862.27081564317,9754.144818084815,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6654.539007489563,-6243.557482189833,8441.96330809156,9686.10610796286,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6577.246675163112,-6196.641170578143,8588.41193776273,9735.682277164731,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6448.27710965599,-6236.829607108785,8076.64639671402,9793.662702281797,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6438.174121162191,-6291.971360680028,7798.367178245447,9764.717193212175,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6601.654780108307,-6248.251348525447,8376.56210381533,9739.3479632554,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6660.573978492496,-6187.812231518296,8623.101845157367,9754.860073907385,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6517.969848867638,-6236.293165241857,8160.063107021226,9762.88435016684,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6412.290801082945,-6282.8965524311725,7800.244724779693,9780.184600375247,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6559.655852276785,-6242.484598455978,8268.49141937392,9759.084553609438,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6660.417516281309,-6196.730577555964,8636.244670897087,9749.473303493656,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,6509.610296441352,-6202.743196814442,8285.97048353797,9804.056263453516,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
