WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
$SILENCE,-1659.9075984844685,-12422.384312437096,6197.17761244507,8038.715486373364,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1602.9330018678907,-12416.0811205007,6378.874943122261,8021.281125698224,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1570.7464898522485,-12404.257047683841,6507.57628769592,8019.694151841897,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1613.5500804841615,-12408.705044830447,6365.508599937988,8034.312192715668,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1661.8745519965355,-12418.562164135237,6201.0668159802935,8036.145035761004,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1618.4227607754185,-12418.182184479498,6322.01210522796,8020.118834986549,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1565.8961613054469,-12409.375597164108,6499.172031780724,8018.3753989190345,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1602.8435948900694,-12407.78862330778,6396.2422485640345,8033.1722537484475,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1657.2253891498315,-12418.495108901872,6205.693627082543,8037.083809028127,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1614.9582403848458,-12422.116091503633,6293.983017681006,8021.750512331786,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1563.9292077933799,-12412.057806498744,6500.535488192498,8010.1052534705705,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1608.3868275149857,-12407.252181440852,6427.400580334733,8018.956544274873,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1654.2973106261863,-12418.875088557612,6230.302897727835,8035.318021216157,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1630.8056272036586,-12426.474681672416,6257.013232351927,8023.82922456613,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1565.2256089717878,-12414.427091411006,6469.80183956645,8012.139262216004,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1581.6541411464384,-12411.811937309736,6450.489932357065,8017.973067518839,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1632.6161185045385,-12422.116091503633,6263.562293477332,8033.328715959635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1622.4460747773737,-12428.911021818045,6237.701325142542,8028.746608346297,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1563.2586554597206,-12416.997542023366,6459.117705716813,8013.793291305697,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1567.5725421395948,-12410.761405320336,6486.90092407476,8016.699018084886,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1631.0514963926669,-12418.65157111306,6294.3406455922905,8026.600840878587,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1643.1661418874435,-12428.329876462207,6210.767473073897,8024.25390771078,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1572.825202086592,-12420.305600202752,6417.789330218951,8011.222840693336,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1567.0584520171228,-12410.202611708954,6495.059310800947,8011.178137204425,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1614.824129918114,-12417.556335634748,6330.081084976326,8026.265564711758,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1639.7016214968708,-12429.849795085169,6206.475938138478,8027.807835079174,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1581.6541411464384,-12423.256030470853,6386.251018792513,8012.675704082931,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1551.4569343873186,-12411.901344287557,6516.293468033489,8011.222840693336,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1603.7153129238263,-12416.930486790001,6375.723347154063,8026.489082156311,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1634.4713132943289,-12428.55339390676,6217.495348154945,8031.227651980836,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1585.2304202592875,-12429.514518918339,6343.6485938606975,8006.864250524552,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1545.1984459398325,-12417.109300745644,6513.767720910039,8000.494003354789,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1587.1750220268991,-12414.74001583338,6405.629981235264,8013.636829094509,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1630.9173859259352,-12428.106359017655,6234.147397774148,8023.91863154395,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1591.6900744068712,-12432.576707908716,6312.982000468016,8015.715541328853,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1548.8417802860477,-12418.584515879693,6500.066101558937,8003.332674900613,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1579.7095393788265,-12414.494146644372,6438.844673495851,8009.859384281563,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1625.1953393453766,-12426.36292295014,6238.550691431844,8020.1411867310035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1598.4179494879186,-12432.464949186438,6268.636139468687,8013.837994794607,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1534.9836987237572,-12421.22202172542,6487.839697341883,8005.947829001883,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1556.3296146785754,-12414.605905366649,6472.573455878909,8015.760244817763,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1618.9815543868012,-12422.294905459274,6277.800354695363,8024.58918387761,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1622.0884468660888,-12430.497995674372,6244.719772901509,8018.174233218937,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1554.9438065223464,-12422.227850225909,6463.588054607875,7999.10819519856,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1551.3004721761313,-12417.556335634748,6496.869802101827,8004.91964875694,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1600.4296064888963,-12427.189937494986,6308.109320176759,8015.581430862121,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1612.7230659393151,-12438.723437633926,6223.820891835796,8011.893393026995,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1555.860228045014,-12429.179242751508,6432.250908881535,7995.196639918881,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1547.4336203853632,-12416.036417011788,6514.9300116217155,7998.974084731828,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1597.434472731885,-12421.356132192152,6346.710782851074,8013.122738972037,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1624.0554003781558,-12432.688466630992,6218.724694099987,8015.2685064397465,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
