WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
$SILENCE,-1528.4346375983523,-11543.111389054226,7088.006387711333,9155.587453316148,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1498.3938930504196,-11544.027810576894,7208.5716973032595,9150.088924180141,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1510.0168001671793,-11547.33586875628,7213.645543294614,9157.800276017222,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1536.5930243245393,-11546.061819322327,7112.928582779001,9160.996575474332,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1534.2684429011874,-11542.306726253835,7076.629349783582,9155.341584127138,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1497.633933738939,-11544.38543848818,7192.679606995536,9146.959679956399,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1489.989637135224,-11550.107485068738,7230.498758613916,9154.626328304568,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1523.316088118087,-11548.81108389033,7123.903289306556,9156.883854494556,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1529.1051899320114,-11545.27950826639,7054.411715795007,9149.641889291035,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1492.8506604255035,-11548.09582806776,7151.664155920048,9142.131703154053,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1481.9430091313136,-11552.85674963674,7221.803930020801,9150.603014302613,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1509.6815240003496,-11552.543825214367,7146.255033761863,9161.845941763633,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1525.2606898856986,-11547.134703056181,7068.381556079574,9158.113200439597,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1499.086797128534,-11546.374743744702,7137.4260947020175,9143.741028754834,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1476.936218373325,-11549.99572634646,7233.113912715186,9146.892624723032,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1499.958515162291,-11553.415543248122,7166.4833624939165,9156.682688794457,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
$SILENCE,-1518.3987043379193,-11551.225072291503,7063.77709672178,9155.296880638229,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
