WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
não,30515.89793156361,-11776.95533954565,-16020.769300552523,-2339.9147200482753,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30420.59009320618,-11879.751012295606,-16213.530744735093,-2436.206035161738,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30311.37946979755,-11927.047303563037,-16498.98487317382,-2470.985349534196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30384.82730207769,-11837.640325741808,-16343.930821887354,-2388.529764238568,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30498.195349955007,-11773.312005199434,-16047.45728343216,-2338.7077258476884,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30430.067232855232,-11862.294299876012,-16165.9662325342,-2423.6443547778554,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30299.533045236236,-11935.429207733776,-16501.443565063902,-2492.3536172334693,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30375.819549062202,-11856.527549806542,-16391.785906766167,-2406.3217528249925,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30516.121449008162,-11772.820266821416,-16067.104466808376,-2327.4200948977586,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30487.354753894182,-11824.788072680007,-16085.23173156163,-2378.6502931893224,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30317.32503382266,-11930.623582675886,-16458.550567454167,-2469.331320444503,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30326.846876960622,-11884.73545130914,-16455.48837846379,-2441.525750342101,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30466.567631550748,-11795.395528721278,-16137.646572309324,-2351.55997890949,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30498.70944007748,-11821.301200544978,-16048.820739843935,-2370.8718861188754,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30349.19862141593,-11928.41075997481,-16401.598322582046,-2459.0271662506066,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30333.798269486222,-11881.78502104104,-16469.838198404097,-2424.9631077007184,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30457.448119812983,-11789.405261207256,-16182.260654242118,-2357.3490807234148,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,30508.186579726527,-11798.658883411752,-16025.999608755066,-2366.6027029279117,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
