WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
sim,31191.92644261437,-11532.539013926866,-15466.088410149625,-1830.6302226341038,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31035.687748871776,-11648.701029861097,-15781.382117436186,-1933.358840150695,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30960.65294273531,-11659.362811966279,-15976.490494786562,-1954.8835700611558,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31082.671115716832,-11555.315441526824,-15722.865250452192,-1860.6486154375812,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31196.08386708306,-11510.857821805219,-15458.198244356901,-1809.9548590129448,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31073.439845256788,-11626.662209828164,-15707.509602011396,-1926.80977902529,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30967.09024513844,-11665.621300413764,-15980.133829132776,-1988.321779766295,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31065.750845164162,-11575.342604558778,-15782.544408147862,-1900.8147002237679,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31202.476465997275,-11519.70911260952,-15475.342032354121,-1825.8245975762127,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31108.73324975172,-11613.452328855077,-15646.310525692765,-1920.260717899885,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30969.615992261886,-11677.64653893072,-15974.25532034103,-1978.48701220596,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31025.42829816679,-11577.711889471042,-15852.952403182078,-1908.3025346162958,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31175.27439299517,-11496.150373953626,-15517.430367163464,-1826.5845568876932,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31145.54657286961,-11579.254159838458,-15565.978356120391,-1874.6631592110587,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30981.574175545476,-11672.326823750356,-15937.196128034131,-1969.613369657203,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31022.276702198593,-11619.375541135734,-15883.686051808127,-1908.6378107831254,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31159.561116643086,-11534.304801738836,-15556.74708566035,-1817.8450248056681,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31155.850727063505,-11572.86156092424,-15525.655809123018,-1845.5164844413382,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30984.681068024765,-11675.41136448519,-15905.188429974132,-1958.9739392964768,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30993.778228018076,-11614.324046888834,-15927.182546518154,-1923.680534801547,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31139.846878033506,-11541.636173920177,-15607.619656040628,-1825.6010801316597,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31190.808855391606,-11555.270738037914,-15472.123381152556,-1835.0558680362547,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31030.926827302796,-11665.30837599139,-15827.382007525208,-1948.3121571912955,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,30987.162111659305,-11643.381314680733,-15955.613965465303,-1942.0536687438093,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,31116.802229500085,-11543.312554754324,-15670.740982382416,-1845.0023943188662,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
