WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
não,34511.4957703943,-12426.631143883604,-5250.178903362621,39835.39072697052,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33935.49131578104,-12167.373259946497,-5892.7245012193325,40033.96362471147,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32653.17173638007,-12132.661000807406,-6662.093897115457,40007.85678718767,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33142.786698673575,-12418.31629494623,-6027.550223773745,39788.04973221418,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34427.073231586604,-12434.923641076522,-5245.350926560274,39822.02438378625,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34154.225487020674,-12188.070975312112,-5694.12925173393,40019.16676988206,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32802.190816663606,-12079.57560772605,-6581.3146926539775,40052.11324120918,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32938.55880958543,-12341.53805274225,-6165.661652763088,39853.38388125705,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34336.39220433142,-12418.65157111306,-5262.986452935512,39855.64140744703,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34351.41257660539,-12198.486888228284,-5542.070334204475,40035.10356367869,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33024.50126701609,-12037.353162449976,-6489.851354342861,40104.08104706777,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32773.75939771645,-12277.388546155518,-6359.987719057527,39879.60247750312,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34146.31296948349,-12421.713760103436,-5357.3331662813625,39827.88054083354,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34500.18578769991,-12216.770615192727,-5384.244666605552,40008.01324939886,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33265.20720305529,-12012.743891804683,-6328.382352397723,40120.286061797866,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32686.162911196105,-12214.75895819175,-6446.399563121744,39930.78797230578,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33921.58853072984,-12419.143309491075,-5486.146269577297,39809.57446212464,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34554.14289881503,-12263.955147737879,-5300.962066765078,39959.979350564405,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33510.51759845229,-12031.854633313971,-6179.4079756031015,40114.966346617504,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32618.97356736345,-12146.519082369696,-6557.420677831255,39979.067740329236,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33688.638650016626,-12404.212344194932,-5615.853442651444,39806.199348711896,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34619.7229170469,-12313.888944851034,-5205.408359218641,39930.072716483206,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33717.24888291942,-12063.392944740408,-6050.237244395882,40103.54460520084,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,32588.530491415324,-12085.275302562155,-6650.023955109591,40042.07730794875,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,33392.075704583614,-12368.606015277626,-5846.054058796652,39825.623014643556,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34572.02429437927,-12344.734352199359,-5175.479373392985,39895.33810559966,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
não,34036.36473850784,-12097.702872479305,-5789.928828469376,40058.7070058235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
