WORD,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
sim,32482.404408741524,-9537.109379423784,-3158.167381068156,38778.89082180153,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33043.232028869636,-9497.21151557106,-2926.3797910666217,38830.70216544893,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32891.62014622929,-9272.911759962053,-3179.558000511885,39028.939787023046,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32284.278545889683,-9239.451198512459,-3485.352216404941,39048.34110121025,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32363.828404406122,-9515.919925680153,-3239.8630070523036,38801.019048812275,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32986.950336331174,-9532.102588665795,-2916.120340361636,38802.31544999069,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32969.94065880068,-9321.772673341355,-3105.037284497891,38998.34024886373,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32336.22400000382,-9240.904061902054,-3490.247248440653,39039.44510691704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32252.7625862077,-9489.567218967346,-3357.746107309593,38807.6128134266,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32902.59485275684,-9552.263862164482,-2955.6382245586187,38778.95787703489,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33044.01433992557,-9352.282804522849,-3030.0024783614253,38970.691140972514,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32465.57354516668,-9220.988657592376,-3420.86743365138,39068.569429942305,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32207.61206240798,-9424.657753069134,-3403.030741576045,38868.32015136721,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32785.15878738866,-9570.771106573477,-3011.2270130189677,38751.37582437704,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33066.74606403662,-9402.90950571412,-3003.6497716486183,38921.338489215195,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32581.489691911902,-9216.33949474567,-3363.7363748236153,39077.26425853542,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32195.877396568943,-9370.499476253925,-3416.4864917381396,38922.254910737865,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32703.306699193326,-9564.51261812599,-3009.438873462543,38760.22711518134,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33058.744139521616,-9464.265044243937,-2991.2669052203782,38850.32699708069,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32660.056073672306,-9255.946785920476,-3339.5964908118835,39035.980586526464,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32163.60147757548,-9349.958223099497,-3504.194736980765,38944.02550983733,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32561.998970746874,-9564.46791463708,-3137.6931831470947,38749.990016220814,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33077.74312230863,-9460.577006408812,-2937.980346438926,38851.82456395919,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32779.90612744166,-9271.414193083549,-3252.0447077804456,39024.89412127664,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32173.011561991163,-9310.529745880336,-3533.3637634949405,38970.42292003905,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32434.7057860739,-9549.089914451828,-3196.455919320097,38766.910286773484,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,33036.7500229776,-9517.216326858561,-2918.5119770183537,38822.72259267838,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32890.50255900652,-9292.000149726886,-3161.1848665696225,39019.10501946271,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32285.66435404591,-9248.526006761314,-3483.340559403963,39041.21089472901,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32358.59809620358,-9503.939390652107,-3261.9241788296913,38812.10551406211,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32973.56164140244,-9548.776990029453,-2935.00756442637,38783.472929414864,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32975.39448444778,-9327.919403066564,-3098.7340925614944,38975.63087649714,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32354.910058368452,-9232.477454242404,-3470.085974941966,39047.62584538768,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
sim,32239.709167445802,-9482.839343886299,-3365.52451438004,38814.094819318634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
